team_id,required_skills,members
0,"[0, 1]","[0, 1]"
1,"[1, 2]","[0, 1]"
2,"[1, 3]","[0, 2]"
3,"[1, 2, 3]","[0, 1, 2]"
4,"[1, 4]","[0, 3]"
5,"[4, 5]","[0, 3]"
6,"[5, 6, 7]","[4, 5, 6]"
7,"[1, 7]","[4, 5]"
8,"[1, 8]","[4, 5]"
9,"[1, 7]","[4, 6]"
10,"[1, 6, 7]","[4, 6]"
11,"[5, 6]","[5, 6]"
12,"[1, 6, 7]","[4, 5, 6]"
13,"[5, 8]","[4, 5, 6]"
14,"[4, 5]",[3]
15,"[4, 5]","[7, 8]"
16,"[3, 5]","[3, 7]"
17,"[4, 5]","[3, 7, 8]"
18,"[3, 4, 5]","[3, 7, 8]"
19,"[4, 5]","[7, 8]"
20,"[4, 5]","[7, 8]"
21,"[1, 8]","[9, 10]"
22,"[1, 7, 8]","[9, 10]"
23,"[5, 6, 7]","[10, 11]"
24,"[5, 6]","[10, 11]"
25,"[1, 5, 7, 8]","[9, 10, 11]"
26,"[1, 8]","[9, 10]"
27,"[5, 7]","[10, 11]"
28,"[4, 5]","[7, 8]"
29,"[5, 6, 7]","[10, 11]"
30,"[1, 9]","[6, 12]"
